mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
-6.571958340499854945e-01,3.819199999999999928e+00,7.879480000000000040e+00,1.152640000000000065e+01,1.512469999999999892e+01,1.886580000000000013e+01,2.279680000000000106e+01,2.688200000000000145e+01
-6.442840312762645461e-01,3.046340000000000270e+00,8.107999999999998764e+00,1.260399999999999920e+01,1.677919999999999945e+01,2.085440000000000182e+01,2.494459999999999766e+01,2.907870000000000132e+01
-6.313722285025434866e-01,3.518959999999999866e+00,9.030980000000001340e+00,1.411069999999999958e+01,1.874239999999999995e+01,2.309699999999999775e+01,2.732080000000000197e+01,3.148929999999999652e+01
-6.184604257288209839e-01,5.201370000000000715e+00,1.070669999999999966e+01,1.610770000000000124e+01,2.105310000000000059e+01,2.561239999999999739e+01,2.993060000000000187e+01,3.411160000000000281e+01
-6.055486229551000354e-01,7.757249999999999091e+00,1.307399999999999984e+01,1.860270000000000223e+01,2.372579999999999956e+01,2.840810000000000102e+01,3.277430000000000376e+01,3.694089999999999918e+01
-5.926368201813789760e-01,1.077550000000000097e+01,1.600980000000000203e+01,2.156289999999999907e+01,2.675280000000000058e+01,3.147999999999999687e+01,3.584600000000000364e+01,3.996940000000000026e+01
-5.797250174076580276e-01,1.400950000000000095e+01,1.938879999999999981e+01,2.493379999999999797e+01,3.010920000000000130e+01,3.481370000000000431e+01,3.913419999999999987e+01,4.318639999999999901e+01
-5.667996089408136040e-01,1.742319999999999780e+01,2.311730000000000018e+01,2.865399999999999991e+01,3.375880000000000081e+01,3.838630000000000564e+01,4.262250000000000227e+01,4.657829999999999870e+01
-5.538878061670926556e-01,2.105189999999999984e+01,2.713779999999999859e+01,3.266320000000000334e+01,3.765840000000000032e+01,4.216850000000000165e+01,4.628960000000000008e+01,5.012870000000000203e+01
-5.409760033933701528e-01,2.494800000000000040e+01,3.141500000000000270e+01,3.690220000000000056e+01,4.176019999999999754e+01,4.612610000000000099e+01,5.011129999999999995e+01,5.381920000000000215e+01
-5.280642006196490934e-01,2.925210000000000221e+01,3.590859999999999985e+01,4.130789999999999651e+01,4.601270000000000238e+01,5.022189999999999799e+01,5.406029999999999802e+01,5.762950000000000017e+01
-5.151523978459281450e-01,3.403459999999999752e+01,4.053289999999999793e+01,4.580600000000000449e+01,5.036079999999999757e+01,5.441600000000000392e+01,5.810779999999999745e+01,6.153800000000000381e+01
-5.022405950722070855e-01,3.892909999999999826e+01,4.513119999999999976e+01,5.031110000000000326e+01,5.474690000000000367e+01,5.866700000000000159e+01,6.222340000000000515e+01,6.552200000000000557e+01
-4.893287922984860816e-01,4.317499999999999716e+01,4.951129999999999853e+01,5.473440000000000083e+01,5.911240000000000094e+01,6.293240000000000123e+01,6.637590000000000146e+01,6.955819999999999936e+01
-4.764169895247635789e-01,4.628710000000000235e+01,5.353599999999999426e+01,5.899630000000000507e+01,6.339970000000000283e+01,6.716910000000000025e+01,7.053300000000000125e+01,7.362250000000000227e+01
-4.635051867510425749e-01,4.860930000000000462e+01,5.717830000000000013e+01,6.303109999999999502e+01,6.755129999999999768e+01,7.133299999999999841e+01,7.466179999999999950e+01,7.769039999999999679e+01
-4.505933839773215710e-01,5.090420000000000300e+01,6.046170000000000044e+01,6.677550000000000807e+01,7.150740000000000407e+01,7.537770000000000437e+01,7.872790000000000532e+01,8.173669999999999902e+01
-4.376815812036005671e-01,5.335099999999999909e+01,6.332909999999999684e+01,7.014740000000000464e+01,7.520089999999999009e+01,7.925359999999999161e+01,8.269570000000000221e+01,8.573550000000000182e+01
-4.247697784298795631e-01,5.520990000000000464e+01,6.557340000000000657e+01,7.303100000000000591e+01,7.855370000000000630e+01,8.290680000000000405e+01,8.652719999999999345e+01,8.966009999999999991e+01
-4.118579756561570604e-01,5.548740000000000094e+01,6.689970000000000994e+01,7.528300000000000125e+01,8.147790000000000532e+01,8.627900000000001057e+01,9.018309999999999604e+01,9.348340000000000316e+01
-3.989461728824360565e-01,5.377609999999999957e+01,6.705680000000000973e+01,7.675549999999999784e+01,8.388000000000000966e+01,8.930930000000000746e+01,9.362279999999999802e+01,9.717779999999999063e+01
-3.860343701087150525e-01,5.044549999999999557e+01,6.592910000000000537e+01,7.732489999999999952e+01,8.567149999999999466e+01,9.193770000000000664e+01,9.680599999999999739e+01,1.007160000000000082e+02
-3.731225673349940486e-01,4.612650000000000006e+01,6.355180000000000717e+01,7.692069999999999652e+01,8.678139999999999077e+01,9.411069999999999425e+01,9.969559999999999889e+01,1.040739999999999981e+02
-3.602107645612730447e-01,4.122169999999999845e+01,6.010289999999999822e+01,7.555309999999998638e+01,8.717210000000000036e+01,9.578830000000000666e+01,1.022600000000000051e+02,1.072279999999999944e+02
-3.472989617875505419e-01,3.603170000000000073e+01,5.591790000000000305e+01,7.333680000000001087e+01,8.685580000000000211e+01,9.695320000000000960e+01,1.044800000000000040e+02,1.101620000000000061e+02
