length_angstrom,mesh,temperature_K,component,kappa_W_mK,previous_length_angstrom,previous_kappa_W_mK,relative_change_abs_over_abs_current,denominator_abs_current_W_mK,relative_change_note
90.0,2x8x96,600.0,xy,-6.870177525261747e-18,75.0,-6.633858430620617e-18,,6.870177525261747e-18,not evaluated: off-diagonal value is numerical near-zero
90.0,2x8x96,600.0,trace_over_3,0.07001889662138945,75.0,0.06815804874980429,0.026576366686371207,0.07001889662138945,
90.0,2x8x96,900.0,xx,0.048797817858441,75.0,0.04859754297405807,0.004104177054882074,0.048797817858441,
90.0,2x8x96,900.0,yy,0.04888326026594636,75.0,0.04830597361396567,0.011809495701391347,0.04888326026594636,
90.0,2x8x96,900.0,zz,0.043456373200999036,75.0,0.040511428092439315,0.06776785294388117,0.043456373200999036,
90.0,2x8x96,900.0,yz,-5.981089342993647e-18,75.0,-5.513542215265364e-18,,5.981089342993647e-18,not evaluated: off-diagonal value is numerical near-zero
90.0,2x8x96,900.0,xz,1.1831428740869e-17,75.0,1.1077992483608247e-17,,1.1831428740869e-17,not evaluated: off-diagonal value is numerical near-zero
90.0,2x8x96,900.0,xy,-4.628115188145574e-18,75.0,-4.469672765020531e-18,,4.628115188145574e-18,not evaluated: off-diagonal value is numerical near-zero
90.0,2x8x96,900.0,trace_over_3,0.04704581710846214,75.0,0.045804981560154355,0.02637504510649884,0.04704581710846214,
105.0,1x1x2736,300.0,xx,0.14668143120011198,90.0,0.14292621493767332,0.02560117004391346,0.14668143120011198,
105.0,1x1x2736,300.0,yy,0.13927592601720257,90.0,0.13891210006904556,0.002612267306785465,0.13927592601720257,
105.0,1x1x2736,300.0,zz,0.13637034256369127,90.0,0.1224715416150916,0.10191952800960573,0.13637034256369127,
105.0,1x1x2736,300.0,yz,-1.896471513168769e-17,90.0,-1.6840272195292938e-17,,1.896471513168769e-17,not evaluated: off-diagonal value is numerical near-zero
105.0,1x1x2736,300.0,xz,3.752741468269432e-17,90.0,3.3286212956618865e-17,,3.752741468269432e-17,not evaluated: off-diagonal value is numerical near-zero
105.0,1x1x2736,300.0,xy,-1.2523744370588163e-17,90.0,-1.3047265310209703e-17,,1.2523744370588163e-17,not evaluated: off-diagonal value is numerical near-zero
105.0,1x1x2736,300.0,trace_over_3,0.14077589992700193,90.0,0.13476995220727014,0.042663181147100576,0.14077589992700193,
105.0,1x1x2736,600.0,xx,0.07476551367226868,90.0,0.07289526168442295,0.02501490187098683,0.07476551367226868,
105.0,1x1x2736,600.0,yy,0.07280798968914039,90.0,0.07265893072758962,0.0020472885213172684,0.07280798968914039,
105.0,1x1x2736,600.0,zz,0.07142505257449051,90.0,0.06450249745215582,0.09692054640232899,0.07142505257449051,
105.0,1x1x2736,600.0,yz,-9.935360795261291e-18,90.0,-8.876408821255625e-18,,9.935360795261291e-18,not evaluated: off-diagonal value is numerical near-zero
105.0,1x1x2736,600.0,xz,1.9670235212159394e-17,90.0,1.7556477451506364e-17,,1.9670235212159394e-17,not evaluated: off-diagonal value is numerical near-zero
105.0,1x1x2736,600.0,xy,-6.609054239750726e-18,90.0,-6.870177525261747e-18,,6.609054239750726e-18,not evaluated: off-diagonal value is numerical near-zero
105.0,1x1x2736,600.0,trace_over_3,0.07299951864529985,90.0,0.07001889662138945,0.040830707917309174,0.07299951864529985,
105.0,1x1x2736,900.0,xx,0.050043769645036956,90.0,0.048797817858441,0.024897240864018788,0.050043769645036956,
105.0,1x1x2736,900.0,yy,0.04897815262351118,90.0,0.04888326026594636,0.0019374425633045555,0.04897815262351118,
105.0,1x1x2736,900.0,zz,0.04806817720674789,90.0,0.043456373200999036,0.09594297669979972,0.04806817720674789,
105.0,1x1x2736,900.0,yz,-6.686679009281712e-18,90.0,-5.981089342993647e-18,,6.686679009281712e-18,not evaluated: off-diagonal value is numerical near-zero
105.0,1x1x2736,900.0,xz,1.3239808858186755e-17,90.0,1.1831428740869e-17,,1.3239808858186755e-17,not evaluated: off-diagonal value is numerical near-zero
105.0,1x1x2736,900.0,xy,-4.454108764089068e-18,90.0,-4.628115188145574e-18,,4.454108764089068e-18,not evaluated: off-diagonal value is numerical near-zero
105.0,1x1x2736,900.0,trace_over_3,0.04903003315843201,90.0,0.04704581710846214,0.04046940053167462,0.04903003315843201,
