temperature_K,carrier_type,carrier_density_cm-3,signed_density_cm-3,chemical_potential_Ry,seebeck_uV_K,sigma_over_tau_ohm-1_m-1_s-1,kappa_e_over_tau_W_m-1_K-1_s-1,power_factor_over_tau_W_m-1_K-2_s-1,electronic_zT_no_lattice,hall_m3_C,smoothed_DOS_Ha-1_uc-1,cv_J_mol-1_K-1,chi_m3_mol-1
500,p,1.0000970957658505e+19,1.0000970957658505e+19,0.580245,322.278,3.93209e+17,3760780000000.0,40839909338.452354,5.429712631216443,6.29101e-07,1.35631,0.11164,4.35956e-14
600,p,9.999872915173034e+18,9.999872915173034e+18,0.582392,348.91,3.69542e+17,4251500000000.0,44987373506.850204,6.3489178182077195,6.35798e-07,1.15767,0.137959,3.72109e-14
700,p,9.995222382293398e+18,9.995222382293398e+18,0.584759,370.405,3.48723e+17,5269990000000.0,47844748182.39007,6.355101950416044,6.35807e-07,1.00952,0.164331,3.24487e-14
800,p,1.0005169355397065e+19,1.0005169355397065e+19,0.587281,379.58799999999997,3.34546e+17,8933030000000.0,48203746143.65622,4.316899967303924,6.08757e-07,0.906127,0.194325,2.91255e-14
900,p,9.994576474949003e+18,9.994576474949003e+18,0.589868,358.716,3.3482e+17,20246400000000.0,43083689609.40193,1.9151711241732723,5.13682e-07,0.854005,0.234436,2.74501e-14
300,p,1.9988894586960253e+19,1.9988894586960253e+19,0.575073,198.327,8.742e+17,5138080000000.0,34385432183.7318,2.0076817906921534,3.06599e-07,3.48597,0.0721204,1.12049e-13
400,p,2.000237252021327e+19,2.000237252021327e+19,0.57629,234.831,8.24277e+17,6459150000000.0,45455248545.06539,2.814936859807584,3.10429e-07,2.95485,0.110496,9.49773e-14
500,p,1.9984739249711317e+19,1.9984739249711317e+19,0.5778,265.402,7.74923e+17,7484050000000.0,54584198000.036476,3.64670185260898,3.14802e-07,2.53336,0.150871,8.14294e-14
600,p,2.0008164156068004e+19,2.0008164156068004e+19,0.579547,291.57,7.30528e+17,8327380000000.0,62104424275.2672,4.474715284418427,3.17831e-07,2.20552,0.191509,7.08915e-14
700,p,1.999802341076102e+19,1.999802341076102e+19,0.581512,314.733,6.8898e+17,9307500000000.0,68248196290.89521,5.132821638853253,3.19642e-07,1.94311,0.232337,6.24571e-14
800,p,1.999899227177761e+19,1.999899227177761e+19,0.583655,333.7,6.53225e+17,11548700000000.0,72740320600.24998,5.038857748508489,3.16778e-07,1.73797,0.275346,5.58631e-14
900,p,1.9998647787860603e+19,1.9998647787860603e+19,0.585938,343.26,6.27151e+17,17967400000000.0,73895589046.76761,3.701483249779648,3.02158e-07,1.58644,0.324318,5.09927e-14
300,p,4.997708077248358e+19,4.997708077248358e+19,0.572264,133.172,2.07228e+18,13031800000000.0,36751433180.89152,0.846040451377972,1.2284e-07,6.52181,0.107534,2.09629e-13
400,p,5.003951848244167e+19,5.003951848244167e+19,0.573104,166.08200000000002,1.96895e+18,16106600000000.0,54310002134.01981,1.3487639137749696,1.24249e-07,5.97952,0.158609,1.92199e-13
500,p,4.9979018494516765e+19,4.9979018494516765e+19,0.574188,194.216,1.86336e+18,18456100000000.0,70285668371.80417,1.9041311103592897,1.25877e-07,5.41161,0.21609,1.73944e-13
