from_density_length_A,to_density_length_A,temperature_K,component,previous_kappa_W_mK,current_kappa_W_mK,signed_change_over_current,absolute_change_over_current,existing_strict_limit,change_over_limit,component_only_pass
60.0,75.0,900.0,xx,0.04773475039664972,0.04859754297405807,0.017753831255808962,0.017753831255808962,0.05,0.3550766251161792,True
60.0,75.0,900.0,yy,0.04867239188975634,0.04830597361396567,-0.007585361568713599,0.007585361568713599,0.05,0.15170723137427197,True
60.0,75.0,900.0,zz,0.03316385022891971,0.040511428092439315,0.18137049740023578,0.18137049740023578,0.05,3.6274099480047153,False
60.0,75.0,900.0,trace/3,0.043190330838441926,0.045804981560154355,0.057082235002729645,0.057082235002729645,0.03,1.9027411667576548,False
75.0,90.0,300.0,xx,0.14232428945456294,0.14292621493767332,0.004211442130282911,0.004211442130282911,0.05,0.08422884260565822,True
75.0,90.0,300.0,yy,0.13727922653678928,0.13891210006904556,0.01175472497676345,0.01175472497676345,0.05,0.235094499535269,True
75.0,90.0,300.0,zz,0.1135468509302332,0.1224715416150916,0.07287154686847394,0.07287154686847394,0.05,1.4574309373694787,False
75.0,90.0,300.0,trace/3,0.13105012230719515,0.13476995220727014,0.027601329815373554,0.027601329815373554,0.03,0.9200443271791185,True
75.0,90.0,600.0,xx,0.07259480338799039,0.07289526168442295,0.004121780887944431,0.004121780887944431,0.05,0.08243561775888861,True
75.0,90.0,600.0,yy,0.07180151528433036,0.07265893072758962,0.011800551352370648,0.011800551352370648,0.05,0.23601102704741295,True
75.0,90.0,600.0,zz,0.060077827577092124,0.06450249745215582,0.0685968768627239,0.0685968768627239,0.05,1.3719375372544778,False
75.0,90.0,600.0,trace/3,0.06815804874980429,0.07001889662138945,0.026576366686371207,0.026576366686371207,0.03,0.8858788895457069,True
75.0,90.0,900.0,xx,0.04859754297405807,0.048797817858441,0.004104177054882074,0.004104177054882074,0.05,0.08208354109764147,True
75.0,90.0,900.0,yy,0.04830597361396567,0.04888326026594636,0.011809495701391347,0.011809495701391347,0.05,0.23618991402782694,True
75.0,90.0,900.0,zz,0.040511428092439315,0.043456373200999036,0.06776785294388117,0.06776785294388117,0.05,1.3553570588776234,False
75.0,90.0,900.0,trace/3,0.045804981560154355,0.04704581710846214,0.02637504510649884,0.02637504510649884,0.03,0.8791681702166281,True
90.0,105.0,300.0,xx,0.14292621493767332,0.14668143120011198,0.02560117004391346,0.02560117004391346,0.05,0.5120234008782691,True
90.0,105.0,300.0,yy,0.13891210006904556,0.13927592601720257,0.002612267306785465,0.002612267306785465,0.05,0.052245346135709296,True
90.0,105.0,300.0,zz,0.1224715416150916,0.13637034256369127,0.10191952800960573,0.10191952800960573,0.05,2.0383905601921146,False
90.0,105.0,300.0,trace/3,0.13476995220727014,0.14077589992700193,0.042663181147100576,0.042663181147100576,0.03,1.422106038236686,False
90.0,105.0,600.0,xx,0.07289526168442295,0.07476551367226868,0.02501490187098683,0.02501490187098683,0.05,0.5002980374197366,True
90.0,105.0,600.0,yy,0.07265893072758962,0.07280798968914039,0.0020472885213172684,0.0020472885213172684,0.05,0.04094577042634537,True
90.0,105.0,600.0,zz,0.06450249745215582,0.07142505257449051,0.09692054640232899,0.09692054640232899,0.05,1.9384109280465796,False
90.0,105.0,600.0,trace/3,0.07001889662138945,0.07299951864529985,0.040830707917309174,0.040830707917309174,0.03,1.361023597243639,False
90.0,105.0,900.0,xx,0.048797817858441,0.050043769645036956,0.024897240864018788,0.024897240864018788,0.05,0.49794481728037576,True
90.0,105.0,900.0,yy,0.04888326026594636,0.04897815262351118,0.0019374425633045555,0.0019374425633045555,0.05,0.03874885126609111,True
90.0,105.0,900.0,zz,0.043456373200999036,0.04806817720674789,0.09594297669979972,0.09594297669979972,0.05,1.9188595339959942,False
90.0,105.0,900.0,trace/3,0.04704581710846214,0.04903003315843201,0.04046940053167462,0.04046940053167462,0.03,1.3489800177224873,False
