               JobID      State ExitCode    Elapsed                 NodeList 
       20213856_50.0  COMPLETED      0:0   00:39:30                     c176 
         20213856_51  COMPLETED      0:0   00:40:08                     c216 
   20213856_51.batch  COMPLETED      0:0   00:40:08                     c216 
  20213856_51.extern  COMPLETED      0:0   00:40:08                     c216 
       20213856_51.0  COMPLETED      0:0   00:40:04                     c216 
         20213856_52  COMPLETED      0:0   00:37:01                     c226 
   20213856_52.batch  COMPLETED      0:0   00:37:01                     c226 
  20213856_52.extern  COMPLETED      0:0   00:37:01                     c226 
       20213856_52.0  COMPLETED      0:0   00:36:56                     c226 
         20213856_53  COMPLETED      0:0   00:39:55                     c568 
   20213856_53.batch  COMPLETED      0:0   00:39:55                     c568 
  20213856_53.extern  COMPLETED      0:0   00:39:55                     c568 
       20213856_53.0  COMPLETED      0:0   00:39:51                     c568 
         20213856_54  COMPLETED      0:0   00:37:07                     c594 
   20213856_54.batch  COMPLETED      0:0   00:37:07                     c594 
  20213856_54.extern  COMPLETED      0:0   00:37:07                     c594 
       20213856_54.0  COMPLETED      0:0   00:37:05                     c594 
         20213856_55  COMPLETED      0:0   00:39:13                     c594 
   20213856_55.batch  COMPLETED      0:0   00:39:13                     c594 
  20213856_55.extern  COMPLETED      0:0   00:39:13                     c594 
       20213856_55.0  COMPLETED      0:0   00:39:11                     c594 
         20213856_56  COMPLETED      0:0   00:38:43                     c598 
   20213856_56.batch  COMPLETED      0:0   00:38:43                     c598 
  20213856_56.extern  COMPLETED      0:0   00:38:43                     c598 
       20213856_56.0  COMPLETED      0:0   00:38:39                     c598 
         20213856_57     FAILED      1:0   00:00:19                     c605 
   20213856_57.batch     FAILED      1:0   00:00:19                     c605 
  20213856_57.extern  COMPLETED      0:0   00:00:19                     c605 
       20213856_57.0 CANCELLED+      0:9   00:00:08                     c605 
       20213856_57.1 CANCELLED+      0:9   00:00:07                     c605 
         20213856_58  COMPLETED      0:0   00:40:01                     c161 
   20213856_58.batch  COMPLETED      0:0   00:40:01                     c161 
  20213856_58.extern  COMPLETED      0:0   00:40:01                     c161 
       20213856_58.0  COMPLETED      0:0   00:39:56                     c161 
         20213856_59  COMPLETED      0:0   00:39:58                     c161 
   20213856_59.batch  COMPLETED      0:0   00:39:58                     c161 
  20213856_59.extern  COMPLETED      0:0   00:39:58                     c161 
       20213856_59.0  COMPLETED      0:0   00:39:53                     c161 
         20213856_60  COMPLETED      0:0   00:35:51                     c201 
   20213856_60.batch  COMPLETED      0:0   00:35:51                     c201 
  20213856_60.extern  COMPLETED      0:0   00:35:51                     c201 
