E_minus_EF_eV,QE_dosx_DOS_states_eV-1_cell-1,BoltzTraP2_DOS_states_eV-1_cell-1,BoltzTraP2_DOS_broadened_states_eV-1_cell-1
-3.520000000000052864e+00,3.414854969277081409e+01,3.135283740910312389e+01,3.695809583617902661e+01
-3.500000000000053291e+00,3.196672519521388978e+01,5.891234100381509364e+01,3.434965641954971716e+01
-3.480000000000053717e+00,2.818962069432909345e+01,5.756165034807195013e+01,3.095430945874684525e+01
-3.460000000000054143e+00,2.345317166593585512e+01,1.111689264762222251e+01,2.714040735762448975e+01
-3.440000000000054570e+00,1.889994843057499097e+01,3.595862370249693463e+00,2.341769066817630573e+01
-3.420000000000054996e+00,1.563653937888594214e+01,7.078076418851056317e+00,2.027438385292995093e+01
-3.400000000000055422e+00,1.422224258429519494e+01,5.101086356095301255e+00,1.803382692878868809e+01
-3.380000000000055849e+00,1.444285160270458057e+01,9.391279864051375270e+00,1.679240836096157707e+01
-3.360000000000056275e+00,1.555364643744212394e+01,1.699744400418869716e+01,1.644856127896499132e+01
-3.340000000000056701e+00,1.675196385980286351e+01,2.590949286986252886e+01,1.679537549627740844e+01
-3.320000000000057128e+00,1.763551483140954801e+01,2.255386741511401993e+01,1.761696667167074182e+01
-3.300000000000057554e+00,1.831116902506527566e+01,1.207279469055658083e+01,1.874968951233820036e+01
-3.280000000000057980e+00,1.916369289152408228e+01,7.142497372436252157e+00,2.008955371642154830e+01
-3.260000000000058407e+00,2.045794578970415500e+01,2.010544756007536904e+01,2.156646141662238847e+01
-3.240000000000058833e+00,2.211789933562203458e+01,2.949735435594150346e+01,2.311884804904142143e+01
-3.220000000000059259e+00,2.389920772293348250e+01,3.340382359073803542e+01,2.468423611590086608e+01
-3.200000000000059686e+00,2.563878707852364514e+01,2.706686573186256695e+01,2.619868422717864576e+01
-3.180000000000060112e+00,2.736486191658916312e+01,1.878091491953003711e+01,2.759820428253994251e+01
-3.160000000000060538e+00,2.915528256099892346e+01,2.642698444381264622e+01,2.880529017383924284e+01
-3.140000000000060965e+00,3.090705804680226976e+01,4.206263798859036740e+01,2.971382109480013867e+01
-3.120000000000061391e+00,3.227458063442559677e+01,2.517739925000694612e+01,3.019238498541589166e+01
-3.100000000000061817e+00,3.277046709849191330e+01,2.977726960958037239e+01,3.011831177609491661e+01
-3.080000000000062244e+00,3.197163356588634997e+01,4.174413222430231230e+01,2.943785831208025527e+01
-3.060000000000062670e+00,2.977233293478894893e+01,5.297481896804210777e+01,2.822448846009452339e+01
-3.040000000000063096e+00,2.660200519854348400e+01,2.554400754316949929e+01,2.669618109492092017e+01
-3.020000000000063523e+00,2.340579099823162679e+01,1.154362596112814288e+01,2.516911689325984369e+01
-3.000000000000063949e+00,2.124373678793540421e+01,9.690625483620504355e+00,2.395470522930796520e+01
-2.980000000000064375e+00,2.074163612355697595e+01,9.981157184385269332e+00,2.324408734178711100e+01
-2.960000000000064801e+00,2.176878707852321426e+01,1.955266624981305057e+01,2.303629004376371725e+01
-2.940000000000065228e+00,2.351659094830996466e+01,2.132726632552901336e+01,2.314676661246116041e+01
-2.920000000000065654e+00,2.493112257098283635e+01,3.785828095102351654e+01,2.329349677633228310e+01
-2.900000000000066080e+00,2.522270968278732539e+01,3.640046704416540990e+01,2.321929709028816902e+01
-2.880000000000066507e+00,2.420555872782119167e+01,2.618137921555433678e+01,2.279038640169162022e+01
-2.860000000000066933e+00,2.229826841060857845e+01,2.548900024263110708e+01,2.203040811144836297e+01
-2.840000000000067359e+00,2.023864260093620970e+01,1.389116935957956045e+01,2.108550434282157227e+01
-2.820000000000067786e+00,1.867892388309945417e+01,7.794893551669901832e+00,2.014902821705721436e+01
-2.800000000000068212e+00,1.787920516526266113e+01,1.509082630854297236e+01,1.938760190775297687e+01
-2.780000000000068638e+00,1.773953290150803497e+01,2.877645335770845492e+01,1.890110119081091256e+01
-2.760000000000069065e+00,1.803859870452409453e+01,2.022880470585101520e+01,1.871656013603333335e+01
-2.740000000000069491e+00,1.866201031388439091e+01,1.365839326081116312e+01,1.880139808879527052e+01
-2.720000000000069917e+00,1.959369289152341764e+01,1.167867725515350052e+01,1.907628700965948099e+01
-2.700000000000070344e+00,2.067500127883488759e+01,1.217148903280551586e+01,1.942531185795958848e+01
-2.680000000000070770e+00,2.153205676796657642e+01,2.857161363923214381e+01,1.970732214645317626e+01
-2.660000000000071196e+00,2.176873806677072665e+01,3.387634299130380811e+01,1.977647747876046580e+01
-2.640000000000071623e+00,2.122845678460766905e+01,1.724720123862242005e+01,1.951090115681079951e+01
-2.620000000000072049e+00,2.004116646739515417e+01,1.528112327666549142e+01,1.883817870871576972e+01
-2.600000000000072475e+00,1.843644647072342835e+01,2.450909589079440210e+01,1.774936826348405461e+01
-2.580000000000072902e+00,1.653910969942871034e+01,2.249598642361812040e+01,1.629599604759095755e+01
-2.560000000000073328e+00,1.438915615351101174e+01,1.472058668149597516e+01,1.457476921412798987e+01
-2.540000000000073754e+00,1.207004389641280717e+01,1.022108933210063775e+01,1.270574153540608897e+01
-2.520000000000074181e+00,9.762188927135635907e+00,7.519292611282340388e+00,1.080889551495589984e+01
