temperature_K,carrier_type,carrier_density_cm-3,signed_density_cm-3,chemical_potential_Ry,seebeck_uV_K,sigma_over_tau_ohm-1_m-1_s-1,kappa_e_over_tau_W_m-1_K-1_s-1,power_factor_over_tau_W_m-1_K-2_s-1,electronic_zT_no_lattice,hall_m3_C,smoothed_DOS_Ha-1_uc-1,cv_J_mol-1_K-1,chi_m3_mol-1
900,n,2.0005236155002745e+19,-2.0005236155002745e+19,0.562596,-154.618,2.36132e+18,49047400000000.0,56451430058.85968,1.0358609641484302,-3.46082e-07,1.45289,0.323746,3.96891e-14
300,n,9.994329069929603e+18,-9.994329069929603e+18,0.562619,-82.99430000000001,1.71731e+18,10610300000000.0,11828923727.073404,0.3344558700623,-6.26562e-07,1.02296,0.0187892,2.79446e-14
400,n,1.00036061711192e+19,-1.00036061711192e+19,0.562097,-104.145,1.63826e+18,13825800000000.0,17768864526.0165,0.5140784482928004,-6.4289e-07,0.97883,0.0262969,2.67391e-14
500,n,1.000122742722443e+19,-1.000122742722443e+19,0.561428,-126.77000000000001,1.57118e+18,16377900000000.0,25249856999.822002,0.7708514827853999,-6.52296e-07,0.934512,0.0361585,2.55284e-14
600,n,9.994365665989521e+18,-9.994365665989521e+18,0.560611,-147.829,1.50614e+18,18724200000000.0,32914299818.799747,1.0547088736116816,-6.59582e-07,0.892667,0.0533258,2.43853e-14
700,n,9.998629106970145e+18,-9.998629106970145e+18,0.559697,-165.558,1.45251e+18,22044800000000.0,39812502200.72364,1.2641870890417035,-6.59961e-07,0.87183,0.0902848,2.38161e-14
800,n,1.0005710444564572e+19,-1.0005710444564572e+19,0.558813,-177.318,1.43283e+18,28588500000000.0,45050572502.260925,1.2606627840498361,-6.40702e-07,0.907386,0.168898,2.47874e-14
900,n,1.0002197222812297e+19,-1.0002197222812297e+19,0.558152,-180.48399999999998,1.47714e+18,41124400000000.0,48117058902.507835,1.0530330658260558,-5.88584e-07,1.04551,0.316085,2.85606e-14
300,p,1.001332242502783e+19,1.001332242502783e+19,0.530967,337.035,2.35402e+17,1277860000000.0,26739923159.54745,6.2776649616266536,8.47562e-07,2.66269,0.16579,7.27377e-14
400,p,9.9975129271426e+18,9.9975129271426e+18,0.533135,379.179,2.20002e+17,1632470000000.0,31631164642.448082,7.750504362701448,8.16799e-07,2.05918,0.23049,5.62514e-14
500,p,9.987174540215337e+18,9.987174540215337e+18,0.535641,405.879,2.04406e+17,2754190000000.0,33673387110.396248,6.113119848375792,7.40166e-07,1.67586,0.297602,4.578e-14
600,p,9.994292473869683e+18,9.994292473869683e+18,0.53843,384.55199999999996,1.97387e+17,8128270000000.0,29189637071.840443,2.1546752560021094,3.47434e-07,1.42576,0.368352,3.8948e-14
700,p,9.998391232580667e+18,9.998391232580667e+18,0.54142,263.22999999999996,2.19541e+17,23878200000000.0,15212003112.898897,0.44594660313713885,-6.52223e-07,1.28235,0.446106,3.50304e-14
800,p,1.0007650035740305e+19,1.0007650035740305e+19,0.544431,84.0635,3.05772e+17,48052000000000.0,2160790440.6451473,0.03597420195863061,-1.37783e-06,1.25938,0.542374,3.44029e-14
900,p,9.998903577419543e+18,9.998903577419543e+18,0.547252,-40.543,4.84674e+17,71889900000000.0,796675544.204226,0.009973695745630519,-1.24446e-06,1.37262,0.677584,3.74964e-14
300,p,2.001786179567498e+19,2.001786179567498e+19,0.529497,280.147,4.68102e+17,2536040000000.0,36737741071.856125,4.3458787406968495,4.21174e-07,4.96708,0.219564,1.35688e-13
400,p,2.0004321253504758e+19,2.0004321253504758e+19,0.531258,321.664,4.37511e+17,3161670000000.0,45268269537.01785,5.727134019302185,4.07674e-07,3.94785,0.322318,1.07845e-13
500,p,2.0012738347286245e+19,2.0012738347286245e+19,0.533347,354.524,4.04699e+17,4057110000000.0,50865511096.04063,6.268687698391297,3.93477e-07,3.2615,0.433379,8.90957e-14
600,p,1.9991512632532926e+19,1.9991512632532926e+19,0.535737,370.606,3.7504e+17,7045820000000.0,51511296665.78944,4.386540956123441,3.41635e-07,2.77355,0.548741,7.57662e-14
700,p,1.9998648864217235e+19,1.9998648864217235e+19,0.538376,346.46,3.61779e+17,17140300000000.0,43425972807.7164,1.7734917688372713,1.37827e-07,2.43291,0.666535,6.64608e-14
800,p,2.0001210588411597e+19,2.0001210588411597e+19,0.541194,256.328,3.87216e+17,40191100000000.0,25441656940.422142,0.506413747131522,-2.91671e-07,2.21828,0.789277,6.05977e-14
900,p,2.000633403680033e+19,2.000633403680033e+19,0.544065,123.041,4.82312e+17,73471800000000.0,7301763657.598472,0.0894436680718129,-6.71737e-07,2.14042,0.930402,5.84707e-14
300,p,5.000339243162819e+19,5.000339243162819e+19,0.527322,208.161,1.15471e+18,6265340000000.0,50034741228.197914,2.3957873584608937,1.6567e-07,10.5035,0.302516,2.86928e-13
400,p,4.995124304624288e+19,4.995124304624288e+19,0.528597,247.72200000000004,1.07389e+18,7811630000000.0,65900537010.19478,3.3744832773797415,1.6105e-07,8.8312,0.471389,2.41245e-13
500,p,5.001967767829237e+19,5.001967767829237e+19,0.530171,281.203,9.92477e+17,9098320000000.0,78480245027.0067,4.312897602359925,1.58538e-07,7.55989,0.671255,2.06516e-13
600,p,4.9960026100623565e+19,4.9960026100623565e+19,0.53204,307.85200000000003,9.10205e+17,10750900000000.0,86262725487.69032,4.814260693766493,1.57057e-07,6.56187,0.886608,1.79253e-13
700,p,4.997905605178171e+19,4.997905605178171e+19,0.534162,323.773,8.3766e+17,15157700000000.0,87811022888.42215,4.055213919123317,1.45894e-07,5.78961,1.10481,1.58157e-13
800,p,4.9996439180243485e+19,4.9996439180243485e+19,0.536509,320.262,7.85214e+17,27065700000000.0,80537632183.74982,2.380507644250836,1.02509e-07,5.18774,1.31704,1.41716e-13
900,p,5.002974159477024e+19,5.002974159477024e+19,0.539029,285.13,7.71036e+17,52458000000000.0,62684545898.10839,1.0754525774581103,-2.35684e-10,4.73868,1.52455,1.29448e-13
300,p,1.0000001459217128e+20,1.0000001459217128e+20,0.52534,157.165,2.25187e+18,12593200000000.0,55623074321.86074,1.3250740317439746,8.09821e-08,17.2817,0.393619,4.72092e-13
400,p,9.993597148731213e+19,9.993597148731213e+19,0.526304,195.116,2.08452e+18,15634300000000.0,79358204734.10112,2.0303615699865327,7.85973e-08,15.3298,0.622116,4.1877e-13
500,p,1.0010449634324149e+20,1.0010449634324149e+20,0.527539,227.316,1.92903e+18,17814200000000.0,99677925855.13968,2.7977098566070797,7.79859e-08,13.6521,0.910638,3.72941e-13
600,p,1.0003679363239038e+20,1.0003679363239038e+20,0.529049,254.25799999999998,1.77179e+18,19375600000000.0,114541139461.98955,3.546970606184775,7.9084e-08,12.1903,1.23476,3.33007e-13
700,p,1.0003313402639843e+20,1.0003313402639843e+20,0.530802,275.675,1.62264e+18,21672100000000.0,123315294415.35,3.9830337664898647,7.99787e-08,10.952,1.56948,2.99181e-13
