mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
-8.311593871071664141e-01,-4.274490000000000123e+01,-5.198899999999999721e+01,-5.478960000000000008e+01,-5.479540000000000077e+01,-5.384640000000000271e+01,-5.273380000000000223e+01,-5.172470000000000567e+01
-8.182475843334453547e-01,-5.445940000000000225e+01,-6.025189999999999912e+01,-6.056450000000000244e+01,-5.889779999999999660e+01,-5.680889999999999418e+01,-5.488280000000000314e+01,-5.326109999999999900e+01
-8.053221758666010421e-01,-6.349819999999999709e+01,-6.565479999999999450e+01,-6.399810000000000088e+01,-6.120739999999999981e+01,-5.842130000000000223e+01,-5.601539999999999964e+01,-5.402670000000000528e+01
-7.924103730928799827e-01,-6.787479999999999336e+01,-6.762489999999999668e+01,-6.492159999999999798e+01,-6.168030000000000257e+01,-5.867949999999999733e+01,-5.613839999999999719e+01,-5.402940000000000254e+01
-7.794849646260355591e-01,-6.713439999999999941e+01,-6.617430000000000234e+01,-6.344830000000000325e+01,-6.042629999999999768e+01,-5.766879999999999740e+01,-5.531340000000000146e+01,-5.331190000000000140e+01
-7.665731618523138335e-01,-6.211519999999999442e+01,-6.180930000000000035e+01,-5.991940000000000310e+01,-5.767670000000000385e+01,-5.554610000000000269e+01,-5.364650000000000318e+01,-5.194539999999999935e+01
-7.536613590785928851e-01,-5.414189999999999969e+01,-5.529159999999999542e+01,-5.480930000000000035e+01,-5.373989999999999867e+01,-5.251580000000000581e+01,-5.127429999999999666e+01,-5.002170000000000272e+01
-7.407359506117484615e-01,-4.449109999999999587e+01,-4.742759999999999820e+01,-4.863559999999999661e+01,-4.895660000000000167e+01,-4.880640000000000356e+01,-4.835119999999999862e+01,-4.764480000000000359e+01
-7.278241478380275131e-01,-3.419930000000000092e+01,-3.895430000000000348e+01,-4.189620000000000033e+01,-4.366549999999999443e+01,-4.464950000000000330e+01,-4.503580000000000183e+01,-4.492340000000000089e+01
-7.148987393711830896e-01,-2.410529999999999973e+01,-3.050199999999999889e+01,-3.503529999999999944e+01,-3.817930000000000490e+01,-4.026500000000000057e+01,-4.148169999999999646e+01,-4.196390000000000242e+01
-7.019869365974613640e-01,-1.496039999999999992e+01,-2.258910000000000196e+01,-2.842759999999999820e+01,-3.277130000000000365e+01,-3.584999999999999432e+01,-3.782889999999999731e+01,-3.886480000000000246e+01
-6.890615281306169404e-01,-7.390649999999999942e+00,-1.561339999999999861e+01,-2.237239999999999895e+01,-2.766760000000000019e+01,-3.157150000000000034e+01,-3.419839999999999947e+01,-3.571269999999999811e+01
-6.761497253568958810e-01,-1.728299999999999947e+00,-9.841630000000000322e+00,-1.709089999999999776e+01,-2.304309999999999903e+01,-2.756200000000000117e+01,-3.068810000000000215e+01,-3.257900000000000063e+01
-6.632379225831749325e-01,2.033349999999999991e+00,-5.409010000000000318e+00,-1.272480000000000011e+01,-1.901870000000000260e+01,-2.391680000000000206e+01,-2.737050000000000338e+01,-2.951810000000000045e+01
-6.503125141163305090e-01,4.058150000000000368e+00,-2.333660000000000068e+00,-9.336359999999999104e+00,-1.565989999999999860e+01,-2.069239999999999924e+01,-2.429129999999999967e+01,-2.656650000000000134e+01
-6.374007113426087834e-01,4.531320000000000014e+00,-5.238260000000000138e-01,-6.909200000000000230e+00,-1.297719999999999985e+01,-1.790659999999999741e+01,-2.146959999999999980e+01,-2.374259999999999948e+01
-6.244753028757651370e-01,3.822579999999999867e+00,2.250310000000000088e-01,-5.352469999999999395e+00,-1.092849999999999966e+01,-1.554060000000000130e+01,-1.889970000000000283e+01,-2.104840000000000089e+01
-6.115635001020434114e-01,2.639970000000000372e+00,2.093230000000000091e-01,-4.515019999999999811e+00,-9.427440000000000708e+00,-1.354439999999999955e+01,-1.655410000000000181e+01,-1.847100000000000009e+01
-5.986380916351989878e-01,1.737729999999999997e+00,-2.582389999999999963e-01,-4.211560000000000414e+00,-8.355140000000000455e+00,-1.184290000000000020e+01,-1.438809999999999967e+01,-1.598550000000000182e+01
-5.857262888614780394e-01,1.376700000000000035e+00,-9.482079999999999398e-01,-4.254159999999999719e+00,-7.575599999999999667e+00,-1.034559999999999924e+01,-1.234510000000000041e+01,-1.355879999999999974e+01
-5.728144860877563138e-01,1.141389999999999905e+00,-1.762869999999999937e+00,-4.476300000000000168e+00,-6.950580000000000425e+00,-8.955690000000000595e+00,-1.036260000000000048e+01,-1.115289999999999893e+01
-5.598890776209126674e-01,3.451149999999999496e-01,-2.693249999999999922e+00,-4.739869999999999806e+00,-6.350880000000000081e+00,-7.578859999999999708e+00,-8.378059999999999619e+00,-8.728780000000000427e+00
-5.469772748471908308e-01,-1.378949999999999898e+00,-3.720820000000000238e+00,-4.926600000000000534e+00,-5.662700000000000067e+00,-6.129730000000000345e+00,-6.333569999999999922e+00,-6.249270000000000103e+00
-5.340518663803465182e-01,-3.804850000000000065e+00,-4.736900000000000333e+00,-4.924590000000000245e+00,-4.790110000000000312e+00,-4.536619999999999209e+00,-4.179570000000000007e+00,-3.681859999999999911e+00
-5.211400636066254588e-01,-6.259789999999999743e+00,-5.528760000000000119e+00,-4.622079999999999522e+00,-3.655930000000000124e+00,-2.744070000000000231e+00,-1.877219999999999889e+00,-1.000340000000000007e+00
-5.082282608329037332e-01,-7.981979999999999187e+00,-5.834350000000000591e+00,-3.914530000000000065e+00,-2.203210000000000335e+00,-7.140469999999999873e-01,6.004289999999999905e-01,1.814220000000000166e+00
-4.953028523660600868e-01,-8.441480000000000317e+00,-5.431620000000000559e+00,-2.722620000000000040e+00,-3.979489999999999972e-01,1.573900000000000077e+00,3.268399999999999750e+00,4.773220000000000240e+00
-4.823910495923383612e-01,-7.495120000000000005e+00,-4.215970000000000439e+00,-1.012019999999999920e+00,1.768299999999999983e+00,4.123270000000000657e+00,6.130519999999999747e+00,7.880990000000000606e+00
