mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
-3.832762255301769283e-01,1.129829999999999934e+01,1.066920000000000002e+01,1.015109999999999957e+01,9.570700000000000429e+00,9.041199999999999903e+00,8.707050000000000622e+00,8.648540000000000560e+00
-3.703644227564559244e-01,1.289429999999999943e+01,1.085190000000000055e+01,1.010190000000000055e+01,9.833410000000000650e+00,9.805799999999999628e+00,9.992420000000000968e+00,1.039850000000000030e+01
-3.574526199827349204e-01,1.232329999999999970e+01,1.008929999999999971e+01,9.629589999999998540e+00,9.884369999999998768e+00,1.045539999999999914e+01,1.121720000000000006e+01,1.212420000000000009e+01
-3.445408172090131949e-01,9.026709999999999567e+00,8.225339999999999208e+00,8.703409999999999869e+00,9.734589999999998966e+00,1.101239999999999952e+01,1.240409999999999968e+01,1.384490000000000087e+01
-3.316290144352921909e-01,3.617059999999999942e+00,5.519470000000000098e+00,7.439199999999999591e+00,9.448729999999999407e+00,1.152049999999999841e+01,1.358510000000000062e+01,1.558479999999999954e+01
-3.187172116615704098e-01,-2.151730000000000143e+00,2.601410000000000000e+00,6.084030000000000271e+00,9.141110000000001179e+00,1.204390000000000072e+01,1.480220000000000091e+01,1.737320000000000064e+01
-3.058054088878494059e-01,-6.291109999999999758e+00,2.292970000000000008e-01,4.945730000000000182e+00,8.954119999999999635e+00,1.266050000000000075e+01,1.610440000000000182e+01,1.924390000000000001e+01
-2.928936061141284020e-01,-7.687869999999999315e+00,-1.020059999999999967e+00,4.296800000000000175e+00,9.026719999999999189e+00,1.345120000000000005e+01,1.754420000000000002e+01,2.123339999999999961e+01
-2.799818033404066764e-01,-6.408609999999999474e+00,-9.393690000000000095e-01,4.296800000000000175e+00,9.465189999999999770e+00,1.448859999999999992e+01,1.917330000000000112e+01,2.337920000000000087e+01
-2.670700005666856724e-01,-3.187879999999999825e+00,3.131110000000000282e-01,4.963349999999999262e+00,1.032670000000000066e+01,1.582950000000000124e+01,2.103859999999999886e+01,2.571799999999999997e+01
-2.541581977929638914e-01,1.084929999999999950e+00,2.330690000000000150e+00,6.193389999999999951e+00,1.162000000000000099e+01,1.751219999999999999e+01,2.318059999999999832e+01,2.828429999999999822e+01
-2.412463950192429152e-01,5.411769999999999747e+00,4.592640000000000278e+00,7.817110000000000447e+00,1.332099999999999973e+01,1.956029999999999802e+01,2.563309999999999889e+01,3.110979999999999990e+01
-2.283345922455219112e-01,8.590630000000000877e+00,6.596390000000000420e+00,9.664450000000000429e+00,1.539639999999999986e+01,2.198939999999999984e+01,2.842520000000000024e+01,3.422380000000000422e+01
